account_rewards,date
20904.57315826416,2020-11-12
14409.222702026367,2020-11-13
-16041.749061584473,2020-11-16
-20752.11775970459,2020-11-17
-4720.206562042236,2020-11-18
-4385.645851135254,2020-11-19
12889.184814453125,2020-11-20
15688.628414154053,2020-11-23
-2590.4563217163086,2020-11-24
-50.32190704345703,2020-11-25
-16496.062858581543,2020-11-27
8846.36555480957,2020-11-30
9709.173400878906,2020-12-01
1537.0727920532227,2020-12-02
15174.16983795166,2020-12-03
-11846.116760253906,2020-12-04
5850.231002807617,2020-12-07
-5356.180305480957,2020-12-08
-6756.959518432617,2020-12-09
1875.672004699707,2020-12-10
-7829.022689819336,2020-12-11
14435.60115814209,2020-12-14
-388.1780548095703,2020-12-15
9404.055755615234,2020-12-16
-650.423942565918,2020-12-17
-12426.928581237793,2020-12-18
-12313.043830871582,2020-12-21
4831.249717712402,2020-12-22
10015.767967224121,2020-12-23
12109.025131225586,2020-12-24
-1753.6625595092773,2020-12-28
3990.2390365600586,2020-12-29
11453.649780273438,2020-12-30
-14044.750991821289,2020-12-31
-3226.964714050293,2021-01-04
27978.806983947754,2021-01-05
1030.225685119629,2021-01-06
-2173.0757217407227,2021-01-07
-6341.467109680176,2021-01-08
-1691.1455001831055,2021-01-11
969.7263946533203,2021-01-12
-10520.09368133545,2021-01-13
-5461.590118408203,2021-01-14
3380.920585632324,2021-01-15
4625.205177307129,2021-01-19
4025.7367553710938,2021-01-20
-26539.365783691406,2021-01-21
5963.2438888549805,2021-01-22
6012.053153991699,2021-01-25
-17885.664268493652,2021-01-26
8536.195487976074,2021-01-27
-30983.71216583252,2021-01-28
9002.497802734375,2021-01-29
10144.215675354004,2021-02-01
-1022.847785949707,2021-02-02
13850.071189880371,2021-02-03
2491.0942153930664,2021-02-04
6445.792930603027,2021-02-05
3111.2051696777344,2021-02-08
4225.500953674316,2021-02-09
-1049.5630187988281,2021-02-10
-4801.909736633301,2021-02-11
-6122.272029876709,2021-02-12
6146.668506622314,2021-02-16
6037.620452880859,2021-02-17
-18893.05978012085,2021-02-18
12250.787761688232,2021-02-19
10517.471797943115,2021-02-22
19060.773094177246,2021-02-23
-17549.143894195557,2021-02-24
-18648.688915252686,2021-02-25
19855.886600494385,2021-02-26
-3666.777618408203,2021-03-01
1679.4289474487305,2021-03-02
-11404.971378326416,2021-03-03
35783.04574966431,2021-03-04
25216.752193450928,2021-03-05
-8159.109786987305,2021-03-08
17215.15765762329,2021-03-09
5512.713108062744,2021-03-10
10607.744235992432,2021-03-11
6266.380172729492,2021-03-12
-4430.830825805664,2021-03-15
-795.1612319946289,2021-03-16
2093.6025924682617,2021-03-17
-27059.56761932373,2021-03-18
7643.393905639648,2021-03-19
1194.8006973266602,2021-03-22
7192.1225509643555,2021-03-23
12343.04118347168,2021-03-24
21399.786514282227,2021-03-25
8861.741798400879,2021-03-26
-13330.80475616455,2021-03-29
-7335.755554199219,2021-03-30
947.3733596801758,2021-03-31
18171.464149475098,2021-04-01
-8460.0611038208,2021-04-05
3076.3050689697266,2021-04-06
-1607.5038299560547,2021-04-07
11787.820251464844,2021-04-08
-1077.843376159668,2021-04-09
-9794.844230651855,2021-04-12
10254.426452636719,2021-04-13
15210.980102539062,2021-04-14
4450.61865234375,2021-04-15
-4265.579231262207,2021-04-16
7390.621726989746,2021-04-19
15633.763580322266,2021-04-20
-12041.93042755127,2021-04-21
9733.903602600098,2021-04-22
-15144.58901977539,2021-04-23
-6987.0998458862305,2021-04-26
5743.6650314331055,2021-04-27
19805.862434387207,2021-04-28
-10365.187530517578,2021-04-29
17596.90219116211,2021-04-30
6248.799644470215,2021-05-03
49.97216033935547,2021-05-04
13088.432716369629,2021-05-05
4289.764747619629,2021-05-06
8588.351081848145,2021-05-07
-24651.68434906006,2021-05-10
-26768.698921203613,2021-05-11
24672.12174987793,2021-05-12
11163.022567749023,2021-05-13
-294.40222930908203,2021-05-14
-12214.402809143066,2021-05-17
-5224.979652404785,2021-05-18
9114.834991455078,2021-05-19
4895.785217285156,2021-05-20
3711.2552032470703,2021-05-21
-4104.286468505859,2021-05-24
-5550.4404373168945,2021-05-25
-702.5882186889648,2021-05-26
-462.38758087158203,2021-05-27
-4380.215530395508,2021-05-28
6248.073303222656,2021-06-01
7553.086074829102,2021-06-02
4495.104843139648,2021-06-03
-7558.623306274414,2021-06-04
-1672.076072692871,2021-06-07
-3913.045913696289,2021-06-08
7133.685287475586,2021-06-09
-2762.572219848633,2021-06-10
-5350.2607421875,2021-06-11
54.349525451660156,2021-06-14
-19653.813385009766,2021-06-15
-6287.035949707031,2021-06-16
-28610.098388671875,2021-06-17
28720.75579071045,2021-06-18
1170.9297790527344,2021-06-21
-8079.226112365723,2021-06-22
9900.10131072998,2021-06-23
15089.469436645508,2021-06-24
-9834.194152832031,2021-06-25
-3997.5032348632812,2021-06-28
